# Type Directory — one line per type for efficient semantic matching
# Format: qname | baseType | pattern | propCount | definition | topProperties
# Total: 18323 types
#
1vxa6AN8TJa3-QTPxRNiDA | 851IJnH0SbCdeOgoqi0vZw | object | 0 | This industry comprises establishments primarily engaged in one or more of the following: (1) recovering nonferrous meta | 
1xpPltEJT6aXh2L1bDlSbg | hncqZ2XEQgCapENT5DIm_A | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing dry, condensed, and evaporated milk and d | 
1yVGulNeSw2K1zx8P2uhaA | SAo8Dp5qQvWsNsNR-tGZhw | object | 0 | This U.S. industry comprises establishments primarily engaged in providing ground passenger transportation (except urban | 
23bvhkolQYu6PJQALOxT4g | 48bWG0soR2CNN0ogShivPQ | object | 0 |  | 
25jlu29ESRmkWUkx3vBeRg | ftUhDsNlSI679HpQb0H4Ig | object | 0 | This U.S. industry comprises establishments primarily engaged in providing residential and personal care services withou | 
2A-BXFaYS4aaPb9hUzIjNA | GlEIq1JJSwqYPT3JUXUZgg | object | 0 | This industry comprises establishments primarily engaged in providing support services, on a contract or fee basis (exce | 
2DivHMTwSGCm38IOaOMxBg | BnUqwMLdS9-fOFztNfp1qg | object | 0 | This industry comprises establishments primarily engaged in operating warehousing and storage facilities (except general | 
2G-DBFLDQJysTddcCjBaIA | R6VF8kjoNTtjnKUnkIycsR | object | 0 | See industry description for 221310. | 
2OsM9dfdRcuEB7PAcbT9uw | oovoyKClRPm-YmPVotVRiA | object | 0 | This industry comprises establishments primarily engaged in performing particular support activities related to timber p | 
2Oxye5SjQYyEy3BmoxJcfQ | Y35yCdJSS8epkqV594aqDA | object | 0 | This industry comprises establishments primarily engaged in retailing miscellaneous specialized lines of merchandise (ex | 
2PaAyJeCQI2csNKvf1r-1g | JEAc8mhWQ5-29LwhQpMcDQ | object | 0 | See industry description for 238150. | 
2S6oDalGRhC1jnEZxgkKfQ | EDdVoCz4SjOKW0JW0LFZ3w | object | 0 | This industry comprises establishments primarily engaged in manufacturing complete dolls, doll parts, doll clothes, acti | 
2TjncALVS2yfMofOQm4sfw | AG_Hao7vTFuruG3Jr1guZw | object | 0 | This industry comprises establishments primarily engaged in manufacturing commercial and service industry machinery, suc | 
2UU3O83LQWOr41rYmPHrdg | XqSGdTUbRMWNiSGU6BLkPQ | object | 0 | See industry description for 525110. | 
2VLYpKrGRyaC6xaiy_y9gA | KpnX0l0NSye8rqjt4kKV7A | object | 0 | This U.S. industry comprises legal entities known as holding companies (except bank holding) primarily engaged in holdin | 
2XPOROoNTNa_-3iXCvaxQA | C8ZWUStdQYSAgNfsaoN1Pw | object | 0 | This U.S. industry comprises establishments primarily engaged in retreading or rebuilding tires. | 
2Z9ABeAYQr2A9LArVHkZYg | 4DECALJnTQCwEeIEfJ0abQ | object | 0 | This industry comprises establishments primarily engaged in providing scenic and sightseeing transportation on water. Th | 
2ZkwjIZSR6KbxoNWr3a38w | QR-ok53ZQo6CuJMSBqvR8w | object | 0 | This industry comprises establishments primarily engaged in providing one or more of the following: (1) investigation, d | 
2_lJTwCTTiCeDONB2gMbVA | GFaRELPBSzyYJPux_HnDGQ | object | 0 | This industry comprises establishments primarily engaged in planning, designing, and managing the production of visual c | 
2_vh6lQBQk2sPx62SmYLLw | JO9pD1pURsu08gubfQb1pw | object | 0 | This U.S. industry comprises establishments primarily engaged in conducting biotechnology (except nanobiotechnology) res | 
2aiCfNVQQ26656V64RKYqg | R8lpuELvxz47gLtnJQsIzqx | object | 0 |  | 
2bcTZ7RZTCOpHjsKcQcUNA | NwpC-AVOSrGS91q0HJPhaw | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing instruments and related devices for measu | 
2e95_ASlT8OYroZSN_ji8w | wJSrD34wT_i5cwB0Htet6Q | object | 0 | See industry description for 925120. | 
2fNWSOtQSvmFKYH_VbZvqw | geSnkqv8TqySZ3-Z27YtRQ | object | 0 | This industry comprises establishments primarily engaged in translating written material and interpreting speech from on | 
2ftoVcy9TQyQqT_Cyemrdw | RB9cei2GHUCqSsSwdI0ySs | object | 0 | This industry group comprises establishments primarily engaged in the merchant wholesale distribution of bulk printing a | 
2jdGSgQzR1C4kHzQd5cqIg | 8BwYq-_yQ3mh7EwIjEuPzA | object | 0 | See industry description for 513140. | 
2jv1xxW3SbymtCXHKC9jgg | GtNxbapGRL26_Ki-0ZpxOA | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing plastics or fiberglass plumbing fixtures. | 
2kwYLNyuTmqg2ZXqWGZo_w | RDNWWH9RIbJqVpU8sO05GoL | object | 0 | See industry description for 541340. | 
2lUF8sHLSWe8HzG3HzL9rw | 5_bs3MXKTrCIt5UR6Gy_VA | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing steel castings (except steel investment c | 
2lfFAEX7Rx2hqmrvq84aGQ | 0NfzPKamRQaQXoR447jVgQ | object | 0 | See industry description for 336360. | 
2oOD6fWrTjyddBGXxB_y7Q | 2A-BXFaYS4aaPb9hUzIjNA | object | 0 | This U.S. industry comprises establishments primarily engaged in providing support activities, on a contract or fee basi | 
2pQdeLYrQdaSmmDRN9-_jQ | Orm6gQnCQtCtnWYEOSFWyg | object | 0 | This industry comprises establishments primarily engaged in providing personal services (except personal care services,  | 
2pXtuqf_Rlq4ikSqCT7SHg | 7Um_4IRrRWKaq1aqiTHIpA | object | 0 | See industry description for 813410. | 
2rn8qwCHRxeEKtpOKHqJuQ | 5a3MB0kHRTK6yiNRFYKcjQ | object | 0 | This U.S. industry comprises establishments primarily engaged in providing long-distance, general freight, less than tru | 
2uh-jhMjQtCcfOVdVaT4zA | kWnYwlzIS9K0r1_cV3CAHQ | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing institutional-type furniture (e.g., libra | 
2wtP-Y9BTkGZHiVAMyvlWA | SGahJEz_Tfqwxxi7eSpqlA | object | 0 | This U.S. industry comprises establishments primarily engaged in operating fossil fuel powered electric power generation | 
3-_A0ZuKQPW5x_d1lAhQ9Q | npD5KrmTT2CIYlTOAfNdYg | object | 0 | This industry comprises establishments primarily engaged in cleaning and dyeing used rugs, carpets, and upholstery. | 
30EZWVzXRPaRzGXkeCdtFA | lMfOntWoQR-cQ9C3gbK4pg | object | 0 | See industry description for 531130. | 
32FsJm8_QUmM-Ki_gtHoRg | g-NFBRAIS_-JJx1IqArTVg | object | 0 | This industry comprises government establishments primarily engaged in the planning, administration, and coordination of | 
32V_86UfQ9a0vBcICCVRiA | YsDPMhUyQtOAtGAqLtLoIg | object | 0 | This industry comprises establishments primarily engaged in retailing one or more of the following items: (1) new jewelr | 
33qR1DvvTTurg9UfkxjT8A | _5HOkwe6Ttu78ZRfE0T42Q | object | 0 | This industry comprises establishments generally known as gasoline stations (except those with convenience stores) or tr | 
35AW6gVHR-CrcnYarn2ZaA | 7bvEzkmdSxyvOEJIUNWlCA | object | 0 | See industry description for 624190. | 
36XC4KWaSK-RUFAi-jdGIA | R880ytkVneQq96bIWT1tZ4l | object | 0 |  | 
3AZFUlpsQ3SlDlj4dj_EQg | R7Ti8xGiWI5NzMSs5upZUo6 | object | 0 | This industry group comprises establishments primarily engaged in one of the following: (1) listing employment vacancies | 
3AiPZAf6TcyjNhFJrl8dkQ | SAo8Dp5qQvWsNsNR-tGZhw | object | 0 | This U.S. industry comprises establishments primarily engaged in providing special needs transportation (except to and f | 
3CGOCwpiQI2AAVTdf7H58g | R8ny9q1BiiYcBN1IyMl0XRe | object | 0 |  | 
3G5UeK7AQYCylMGi4vdq-A | sRjesESeSkKG6PyO71GdIw | object | 0 | See industry description for 921190. | 
3Gs52abYTh-gyA2268b5Tw | ABRVtk2DQFqOsDUoTSOxQQ | object | 0 | See industry description for 211120. | 
3HY7M-8oRfyv_SNQR5O_SA | P2ahRVjlQwyn4knwwoIQvw | object | 0 | This industry comprises establishments primarily engaged in manufacturing plastics pipes and pipe fittings, and plastics | 
3HyVqLgRRPyVmXs8Z7B6DQ | RBpSutJH1FlqWIYeHLVSxhF | object | 0 |  | 
3Jfi2bVsTaaNLB3vRCxaww | RD1C77b5D46361ED0cbA4f20 | object | 0 | This industry group comprises establishments primarily engaged in one of the following: (1) acting as principals in buyi | 
3NcP9ox8RxKQHdSeh-q3Ig | shCPBqDZQECbiqTGp4dA2Q | object | 0 | See industry description for 335910. | 
3O6k_9zpSeuBmYTP3FbR2g | bNVopm3ySAauKKo0yRbhVQ | object | 0 | This U.S. industry comprises establishments primarily engaged in managing residential real estate for others. | 
3ODslBVpSLOOs-nRaxGdhw | R1mCdY0rwFYwF5UCzk28Qu | object | 0 |  | 
3PSpTZfeQ1Kg-aYP7aYBOg | ftUhDsNlSI679HpQb0H4Ig | object | 0 | This U.S. industry comprises establishments primarily engaged in providing a range of residential and personal care serv | 
3QMD26oxS-KqHJDr_VyQnQ | phB7LdTITsa73RJn28WyDw | object | 0 | See industry description for 457210. | 
3RWedzpJRYKUeIYq_zp60Q | TIqRyosqTd-D921xWs8ROg | object | 0 |  | 
3YEgZQxJRwKQwhrH_-NFBA | Qfg7k82rSDq-ySL8nIBPuQ | object | 0 | This U.S. industry comprises establishments known as short-line railroads primarily engaged in operating railroads for t | 
3YyulcNZQzWr_QbqDqf8Gw | 8FwY1QS9TE-QSEn2Mk_U4g | object | 0 |  | 
3Z42yqoRRr6_w9JK3SYVrg | HI6_IMVUT_6n9q50Z5Dpuw | object | 0 | This industry comprises establishments (except offices of lawyers and attorneys) primarily engaged in drafting, approvin | 
3ZTyLmpASpO3CDM8aVnHNw | baQ10v5XQ7eQyuVBmctesg | object | 0 | This industry comprises establishments primarily engaged in one or more of the following: (1) manufacturing nitrogenous  | 
3bX1xr_PScmBD3Ji4FS07g | Wnb0B4vNR66_Oszwz0yiSQ | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing and/or assembling electronic computers, s | 
3ewBiuboSNOQQOxromRuiw | i22tsqU-R5SH9nDskUhX8Q | object | 0 | This U.S. industry comprises establishments primarily engaged in slaughtering animals (except poultry and small game). E | 
3ezdp2TwToqg4QLKtjZ9pg | 3Jfi2bVsTaaNLB3vRCxaww | object | 0 | This industry comprises establishments primarily engaged in acting as agents or brokers (except securities brokerages an | 
3hLWHHZURAm2-7s6lKYwOg | 0bwbqpSMSGGJlyYAfFjSlA | object | 0 | This industry comprises establishments primarily engaged in the merchant wholesale distribution of specialized equipment | 
3kgENBAqQryJqs8dshTugg | hs26gUWmSpan-dGyuzrHag | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing ornamental and architectural metal work,  | 
3ktxWGz6Td2564VVz9eAmw | TRUS772fRGeGcQNzhp3xgA | object | 0 | This industry comprises establishments primarily engaged in performing support activities related to raising livestock ( | 
3oStfX6KTNC8RhcgP7idZQ | izHd477aT66zkGjiRDvi4Q | object | 0 | See industry description for 112930. | 
3ocz7MdYSiuoBhWuervqOw | XqSGdTUbRMWNiSGU6BLkPQ | object | 0 | See industry description for 525120. | 
3pmohkTOTG2ocnvB6GoceQ | RUE4fCCSnGX1wIK324EyiL | object | 0 | Industries in the Support Activities for Transportation subsector provide services which support transportation.  These  | 
3qS4ZAL9RmOMdAF8LxEgTQ | 6X6xJ7TuSFmlAW6Yr-JH6w | object | 0 | This U.S. industry comprises establishments with medical staff primarily engaged in providing general or specialized out | 
3qZhc0PHRP-vEQxcW0Bdnw | 2Oxye5SjQYyEy3BmoxJcfQ | object | 0 | This U.S. industry comprises establishments primarily engaged in retailing miscellaneous specialized lines of merchandis | 
3scvMZ_HTTiwTo7ZenrSdA | N3Ci3xnZQZaoGkfh_Fgudw | object | 0 | This U.S. industry comprises establishments primarily engaged in (1) manufacturing resins, plastics materials, and nonvu | 
3uDvi0w1SRm2wzATEHy9DA | 3HY7M-8oRfyv_SNQR5O_SA | object | 0 | This U.S. industry comprises establishments primarily engaged in converting plastics resins into nonrigid plastics profi | 
42JL-2LmRkyOB6I22vDukA | MGbTrlW7Q266Siq293Zsjg | object | 0 | This industry comprises establishments primarily engaged in accepting members' share deposits in cooperatives that are o | 
42SQEIlkSua466-FrBCwSA | RCKHu5j3lShHppXTMbqVNGV | object | 0 | See industry description for 221210. | 
438TzIwITPevnrDri1jZMg | n5S7woVlTMSfGV0Fsn_OFA | object | 0 | See industry description for 316110. | 
43EVq_sUTqSbiTr1nuY1qg | diWuW6jcRmyt0AiiCTgOlQ | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing ball and roller bearings of all materials | 
44c0zw9pTeKbmN2mB16OFQ | JO9pD1pURsu08gubfQb1pw | object | 0 | This U.S. industry comprises establishments primarily engaged in conducting research and experimental development (excep | 
46gudIR0TfOW3n0UXOxkSQ | diWuW6jcRmyt0AiiCTgOlQ | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing small arms, other ordnance, and/or ordnan | 
48bWG0soR2CNN0ogShivPQ | RUE4fCCSnGX1wIK324EyiL | object | 0 | Industries in the Couriers and Messengers subsector provide intercity, local, and/or international delivery of parcels a | 
48sxry7yS2GtZEhKxwI03g | SGahJEz_Tfqwxxi7eSpqlA | object | 0 | This U.S. industry comprises establishments primarily engaged in operating geothermal electric power generation faciliti | 
49---pyEQLSI_yx5EpI4Cg | RBc5RGWuFjIluthibNwahF6 | object | 0 |  | 
49W_Qx6KT8OCUdWJDhzZmg | lxlbuPNIQtelrvktdO9dxA | object | 0 | This industry comprises establishments primarily engaged in providing support activities to transportation (except for a | 
4CLgqfoNSxmR3pFoIRSRqA | RDNWWH9RIbJqVpU8sO05GoL | object | 0 | See industry description for 541370. | 
4CzfktbVRua2rRGxaHt4mA | ibx067bJQRaxmfqaByt5PQ | object | 0 | See industry description for 423440. | 
4DECALJnTQCwEeIEfJ0abQ | BUU0Ap-qSa2xyhxy7QQJuQ | object | 0 | See industry description for 487210. | 
4GQNhz9UTbyhE7g9PDbPUA | gc05XgiIRYmVHrg3IjevCw | object | 0 | This U.S. industry comprises establishments primarily engaged in manufacturing soft drinks and artificially carbonated w | 
4Gp8FjauQ9y8aBSZcsnceg | o7aaf9ALQVKPu5C8zvc1pQ | object | 0 | See industry description for 622210. | 
4H0Zw0_FRVCUCbfjpUyMJQ | GIfl98GaRgykVzvaLJhF6A | object | 0 | See industry description for 444110. | 
